feature,coef,abs_z,p_value,significant
lt_cos,1.6874969774316435,271.9608851858187,0.0,True
mlat_abs,-0.18668692033939902,116.05056505088986,0.0,True
mlat_dist_from_peak,0.15226161394357562,97.75094254946713,0.0,True
r,-0.14454935727419102,85.44099036884283,0.0,True
const,-0.13142928201219672,84.02483265908761,0.0,True
r_dist_from_peak,0.14196268746722498,82.61863275257011,0.0,True
lt_sin,-0.5804093562866897,74.74985678552372,0.0,True
mlat_north,-0.23137367670893622,42.85116247730793,0.0,True
lt_cos_x_mlat,-0.02560646366128359,22.20299083469051,3.2134253489673426e-109,True
lt_sin_x_mlat,0.019108344247365405,13.30807714925844,2.077600671795519e-40,True
